INSTNM	ADDR	CITY	STABBR	ZIP	LONGITUD	LATITUDE										
American Samoa Community College	PO Box 2609	Pago Pago	AS	96799	-170.742728	-14.322587										
Kauai Community College	3-1901 Kaumualii Hwy	Lihue	HI	96766	-159.395966	21.969509										
University of Hawaii-West Oahu	91-1001 Farrington Highway	Kapolei	HI	96707	-158.062444	21.353359										
Leeward Community College	96-045 Ala Ike	Pearl City	HI	96782	-157.985099	21.392802										
Brigham Young University-Hawaii	55-220 Kulanui Street	Laie	HI	96762	-157.925358	21.641172										
New Hope Christian College-Honolulu	290 Sand Island Access Rd	Honolulu	HI	96819	-157.888571	21.32731										
Honolulu Community College	874 Dillingham Blvd	Honolulu	HI	96817	-157.87488	21.319946										
Med-Assist School of Hawaii Inc	33 S King Ste 223	Honolulu	HI	96813	-157.862651	21.310091										
Hawaii Institute of Hair Design	1128 Nuuanu Avenue	Honolulu	HI	96817	-157.861958	21.313505										
Remington College-Honolulu Campus	1111 Bishop St Ste 400	Honolulu	HI	96813	-157.860023	21.309273										
Hawaii Medical College	1221 Kapiolani Boulevard	Honolulu	HI	96814	-157.847541	21.29499										
Travel Institute of the Pacific	1314 S King St Ste 1164	Honolulu	HI	96814	-157.841529	21.298959										
Heald College-Honolulu	1500 Kapiolani Blvd	Honolulu	HI	96814	-157.841404	21.293024										
University of Hawaii System Office	2444 Dole St	Honolulu	HI	96822	-157.817258	21.299293										
Windward Community College	45-720 Keaahala Rd	Kaneohe	HI	96744	-157.813213	21.40922										
Chaminade University of Honolulu	3140 Waialae Avenue	Honolulu	HI	96816	-157.807642	21.290274										
Kapiolani Community College	4303 Diamond Head Rd	Honolulu	HI	96816	-157.800413	21.271357										
World Medicine Institute	1073 Hind Iuka Drive	Honolulu	HI	96821	-157.754719	21.296439										
Ilisagvik College	Narl Facility	Barrow	AK	99723	-156.679486	71.324702										
University of Hawaii Maui College	310 Kaahumanu Ave	Kahului	HI	96732	-156.479854	20.890561										
Hawaii Community College	200 W. Kawili Street	Hilo	HI	96720	-155.081831	19.69972										
University of Hawaii at Hilo	200 W Kawili St	Hilo	HI	96720	-155.081329	19.701854										
Alaska Christian College	35109 Royal Place	Soldotna	AK	99669	-151.136005	60.490459										
Alaska Career College	1415 E Tudor Road	Anchorage	AK	99507	-149.856954	61.181443										
Charter College-Anchorage	2221 E Northern Lights Blvd Ste 120	Anchorage	AK	99508	-149.840178	61.195786										
University of Alaska Anchorage	3211 Providence Drive	Anchorage	AK	99508	-149.826135	61.189554										
Alaska Pacific University	4101 University Dr	Anchorage	AK	99508	-149.804242	61.191235										
